"","Mean","Median","Mode","ESS","HDImass","HDIlow","HDIhigh","CompVal","PcntGtCompVal","ROPElow","ROPEhigh","PcntLtROPE","PcntInROPE","PcntGtROPE"
"CHAIN",3,3,3.99415738451986,1.5,0.95,1,5,NA,NA,NA,NA,NA,NA,NA
"beta0",65.80367843,65.8395,65.9982685199273,6833.8,0.95,60.3214,71.5333,NA,NA,NA,NA,NA,NA,NA
"beta[1]",0.000972949115481778,0.000971042,0.00142552590888695,9656.9,0.95,-0.00253542,0.00481866,NA,NA,NA,NA,NA,NA,NA
"beta[2]",-0.0140400980909,-0.01411075,-0.0146296903485226,7927.2,0.95,-0.0223755,-0.00512905,NA,NA,NA,NA,NA,NA,NA
"beta[3]",-0.007617889789219,-0.00759565,-0.00638536490988582,8694.4,0.95,-0.0233087,0.00755204,NA,NA,NA,NA,NA,NA,NA
"beta[4]",-0.03538142840193,-0.0352724,-0.0351310153544926,7909.2,0.95,-0.0550683,-0.013762,NA,NA,NA,NA,NA,NA,NA
"beta[5]",-0.193540634,-0.1933375,-0.192721509966337,6384.6,0.95,-0.228519,-0.159648,NA,NA,NA,NA,NA,NA,NA
"beta[6]",0.8354192045,0.836342,0.847948205661311,7020.1,0.95,0.662189,1.00473,NA,NA,NA,NA,NA,NA,NA
"sigma",0.3675080904,0.367906,0.370178091639654,10000,0.95,0.325094,0.407557,NA,NA,NA,NA,NA,NA,NA
"zbeta0",-0.018785597694007,-0.01849545,-0.0165446581452573,10000,0.95,-0.0875322,0.0547454,NA,NA,NA,NA,NA,NA,NA
"zbeta[1]",0.0218001398353149,0.0217574,0.0319405798073483,9656.9,0.95,-0.0568093,0.107968,NA,NA,NA,NA,NA,NA,NA
"zbeta[2]",-0.181388969781,-0.182302,-0.189006168285466,7927.2,0.95,-0.289077,-0.066264,NA,NA,NA,NA,NA,NA,NA
"zbeta[3]",-0.05334550016889,-0.05318975,-0.0447146690182115,8694.4,0.95,-0.163223,0.0528844,NA,NA,NA,NA,NA,NA,NA
"zbeta[4]",-0.1797764230322,-0.179223,-0.17850400188186,7909.2,0.95,-0.279808,-0.0699262,NA,NA,NA,NA,NA,NA,NA
"zbeta[5]",-0.7659189528,-0.7651145,-0.762674368951414,6384.6,0.95,-0.904341,-0.631793,NA,NA,NA,NA,NA,NA,NA
"zbeta[6]",0.6393195726,0.6400255,0.648906709315187,7020.1,0.95,0.506752,0.768885,NA,NA,NA,NA,NA,NA,NA
"zsigma",0.5514863248,0.552084,0.555493396632557,10000,0.95,0.48784,0.611584,NA,NA,NA,NA,NA,NA,NA
"nu",37.173672499,28.6627,15.4909477075795,8987,0.95,4.68497,96.9608,NA,NA,NA,NA,NA,NA,NA
"pred",72.900152,72.89805,72.8853404663382,7670.1,0.95,72.5424,73.2721,NA,NA,NA,NA,NA,NA,NA
"log10(nu)",1.45682571520167,1.45731709786508,1.47183880011918,9291.3,0.95,0.878312640394464,2.07295904596927,NA,NA,NA,NA,NA,NA,NA
